"SkillName","CanonicalSource","VariantCount","AvailableSources"
"007","antigravity-claude","2","antigravity-claude;antigravity-codex"
"00-andruia-consultant","antigravity-claude","2","antigravity-claude;antigravity-codex"
"10-andruia-skill-smith","antigravity-claude","2","antigravity-claude;antigravity-codex"
"20-andruia-niche-intelligence","antigravity-claude","2","antigravity-claude;antigravity-codex"
"3d-web-experience","antigravity-claude","2","antigravity-claude;antigravity-codex"
"ab-test-setup","antigravity-claude","2","antigravity-claude;antigravity-codex"
"acceptance-orchestrator","antigravity-claude","2","antigravity-claude;antigravity-codex"
"accessibility-compliance-accessibility-audit","antigravity-claude","2","antigravity-claude;antigravity-codex"
"activecampaign-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"active-directory-attacks","antigravity-claude","2","antigravity-claude;antigravity-codex"
"ad-creative","antigravity-claude","2","antigravity-claude;antigravity-codex"
"address-github-comments","antigravity-claude","2","antigravity-claude;antigravity-codex"
"advanced-evaluation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"advogado-criminal","antigravity-claude","2","antigravity-claude;antigravity-codex"
"advogado-especialista","antigravity-claude","2","antigravity-claude;antigravity-codex"
"aegisops-ai","antigravity-claude","2","antigravity-claude;antigravity-codex"
"agent-evaluation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"agentfolio","antigravity-claude","2","antigravity-claude;antigravity-codex"
"agent-framework-azure-ai-py","antigravity-claude","2","antigravity-claude;antigravity-codex"
"agentic-actions-auditor","antigravity-claude","2","antigravity-claude;antigravity-codex"
"agentmail","antigravity-claude","2","antigravity-claude;antigravity-codex"
"agent-manager-skill","antigravity-claude","2","antigravity-claude;antigravity-codex"
"agent-memory-mcp","antigravity-claude","2","antigravity-claude;antigravity-codex"
"agent-memory-systems","antigravity-claude","2","antigravity-claude;antigravity-codex"
"agent-orchestration-improve-agent","antigravity-claude","2","antigravity-claude;antigravity-codex"
"agent-orchestration-multi-agent-optimize","antigravity-claude","2","antigravity-claude;antigravity-codex"
"agent-orchestrator","antigravity-claude","2","antigravity-claude;antigravity-codex"
"agentphone","antigravity-claude","2","antigravity-claude;antigravity-codex"
"agents-md","antigravity-claude","2","antigravity-claude;antigravity-codex"
"agents-v2-py","antigravity-claude","2","antigravity-claude;antigravity-codex"
"agent-tool-builder","antigravity-claude","2","antigravity-claude;antigravity-codex"
"ai-agent-development","antigravity-claude","2","antigravity-claude;antigravity-codex"
"ai-agents-architect","antigravity-claude","2","antigravity-claude;antigravity-codex"
"ai-analyzer","antigravity-claude","2","antigravity-claude;antigravity-codex"
"ai-dev-jobs-mcp","antigravity-claude","2","antigravity-claude;antigravity-codex"
"ai-engineer","antigravity-claude","2","antigravity-claude;antigravity-codex"
"ai-ml","antigravity-claude","2","antigravity-claude;antigravity-codex"
"ai-native-cli","antigravity-claude","2","antigravity-claude;antigravity-codex"
"ai-product","antigravity-claude","2","antigravity-claude;antigravity-codex"
"airflow-dag-patterns","antigravity-claude","2","antigravity-claude;antigravity-codex"
"airtable-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"ai-seo","antigravity-claude","2","antigravity-claude;antigravity-codex"
"ai-studio-image","antigravity-claude","2","antigravity-claude;antigravity-codex"
"ai-wrapper-product","antigravity-claude","2","antigravity-claude;antigravity-codex"
"akf-trust-metadata","antigravity-claude","2","antigravity-claude;antigravity-codex"
"algolia-search","antigravity-claude","2","antigravity-claude;antigravity-codex"
"algorithmic-art","current-bundle","4","current-bundle;main;antigravity-claude;antigravity-codex"
"alpha-vantage","antigravity-claude","2","antigravity-claude;antigravity-codex"
"amazon-alexa","antigravity-claude","2","antigravity-claude;antigravity-codex"
"amplitude-automation","antigravity-claude","2","antigravity-claude;antigravity-codex"
"analytics-product","antigravity-claude","2","antigravity-claude;antigravity-codex"
"analytics-tracking","antigravity-claude","2","antigravity-claude;antigravity-codex"
"andrej-karpathy","antigravity-claude","2","antigravity-claude;antigravity-codex"
"android_ui_verification","antigravity-claude","2","antigravity-claude;antigravity-codex"
"android-jetpack-compose-expert","antigravity-claude","2","antigravity-claude;antigravity-codex"
